Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,6.77
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,4.26
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.66
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.4
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,6.16
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.05
7.0,11 Aug 16:56,11 Aug 2021,16:56:21,6.01
8.0,11 Aug 18:00,11 Aug 2021,18:00:02,6.12
9.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.95
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,5.01
11.0,16 Aug 15:15,16 Aug 2021,15:15:28,6.3
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,5.24
13.0,16 Aug 17:19,16 Aug 2021,17:19:32,5.11
14.0,16 Aug 18:19,16 Aug 2021,18:19:53,6.03
15.0,16 Aug 19:20,16 Aug 2021,19:20:17,5.99
16.0,16 Aug 23:18,16 Aug 2021,23:18:09,4.34
17.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.49
18.0,23 Aug 15:16,23 Aug 2021,15:16:38,6.43
19.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.6
20.0,28 Aug 10:21,28 Aug 2021,10:21:18,7.74
21.0,28 Aug 11:35,28 Aug 2021,11:35:06,7.86
22.0,28 Aug 12:45,28 Aug 2021,12:45:39,7.97
23.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.03
24.0,28 Aug 18:00,28 Aug 2021,18:00:08,8.53
25.0,28 Aug 19:18,28 Aug 2021,19:18:38,8.13
,03 Sep 02:17,03 Sep 2021,02:17:33,9.38
,03 09 10:54,03 Sep 2021,10:54:46,8.08
,10 Sep 17:38,10 Sep 2021,17:38:26,7.64
,10 Sep 23:30,10 Sep 2021,23:30:16,7.28
,12 Sep 16:50,12 Sep 2021,16:50:46,7.64
,12 Sep 17:30,12 Sep 2021,17:30:03,7.57
,12 Sep 18:30,12 Sep 2021,18:30:04,9.2
,12 Sep 21:12,12 Sep 2021,21:12:54,7.56
,12 Sep 22:53,12 Sep 2021,22:53:57,7.96
