Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.66
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.62
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,6.84
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.99
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.9
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.92
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.97
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,7.02
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,7.28
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,7.6
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,7.56
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,7.7
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,7.63
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,7.02
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,7.56
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,7.69
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.52
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.71
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,6.58
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,6.94
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,6.95
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.66
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,7.47
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,6.99
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,7.63
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.33
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,6.87
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,6.97
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,7.58
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,6.99
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,7.68
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.09
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.26
33.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.4
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,7.59
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,7.66
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,7.32
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,6.64
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,7.25
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,7.26
,03 Sep 02:17,03 Sep 2021,02:17:33,7.78
,03 09 10:54,03 Sep 2021,10:54:46,7.12
,10 Sep 17:38,10 Sep 2021,17:38:26,7.13
,10 Sep 23:30,10 Sep 2021,23:30:16,8.12
,12 Sep 18:42,12 Sep 2021,18:42:45,6.73
