Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.93
1.0,09 Aug 12:57,09 Aug 2021,12:57:04,8.01
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,7.93
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,7.89
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,7.98
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,8.05
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,7.99
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.0
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,8.02
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,7.94
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,8.02
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,7.92
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,7.97
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,8.09
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,7.97
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.81
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.99
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,8.12
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.0
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,8.05
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,8.01
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,8.1
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.0
23.0,16 Aug 16:15,16 Aug 2021,16:15:54,8.01
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,8.06
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,8.07
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,8.24
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,8.07
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.22
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,8.16
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,8.05
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,8.14
32.0,28 Aug 12:45,28 Aug 2021,12:45:39,8.12
33.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.11
,03 Sep 02:17,03 Sep 2021,02:17:33,7.96
,03 09 10:54,03 Sep 2021,10:54:46,0.0
,10 Sep 17:38,10 Sep 2021,17:38:26,8.23
,10 Sep 23:30,10 Sep 2021,23:30:16,0.0
