Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,30.9
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,30.0
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,30.5
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,30.6
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,32.5
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,31.6
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,30.8
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,30.5
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,30.2
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,30.1
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,29.6
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,29.5
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,29.9
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,29.8
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,29.7
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,29.2
16.0,11 Aug 12:13,11 Aug 2021,12:13:36,29.0
17.0,11 Aug 16:56,11 Aug 2021,16:56:21,29.2
18.0,11 Aug 18:00,11 Aug 2021,18:00:02,29.3
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,28.7
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,28.8
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.7
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,30.9
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,31.7
24.0,16 Aug 16:15,16 Aug 2021,16:15:54,31.1
25.0,16 Aug 17:19,16 Aug 2021,17:19:32,31.0
26.0,16 Aug 18:19,16 Aug 2021,18:19:53,31.1
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,31.3
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,32.6
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,32.5
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,32.0
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,31.7
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,30.9
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,31.0
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,31.4
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,31.8
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,31.3
,03 Sep 02:17,03 Sep 2021,02:17:33,32.3
,03 09 10:54,03 Sep 2021,10:54:46,32.1
,10 Sep 17:38,10 Sep 2021,17:38:26,32.0
,10 Sep 23:30,10 Sep 2021,23:30:16,31.8
,12 Sep 17:30,12 Sep 2021,17:30:03,33.2
,12 Sep 18:42,12 Sep 2021,18:42:45,33.0
,12 Sep 21:12,12 Sep 2021,21:12:54,32.6
