Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,527.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,526.76
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,528.26
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,526.73
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,526.74
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,526.75
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,526.81
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,526.89
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,526.83
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,526.82
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,526.83
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,526.85
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,526.87
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,526.9
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,526.87
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,526.84
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,526.88
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,526.86
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,526.89
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,526.91
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,527.0
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,526.95
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,526.96
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,526.98
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,526.95
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,526.93
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,526.94
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,526.54
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,526.5
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,526.65
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,526.68
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,526.74
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,526.75
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,526.76
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,526.74
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,526.73
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,526.71
,03 Sep 02:17,03 Sep 2021,02:17:33,530.66
,03 09 10:54,03 Sep 2021,10:54:46,530.52
,10 Sep 17:38,10 Sep 2021,17:38:26,530.93
,10 Sep 23:30,10 Sep 2021,23:30:16,530.85
,12 Sep 17:30,12 Sep 2021,17:30:03,530.97
,12 Sep 18:42,12 Sep 2021,18:42:45,530.93
,12 Sep 21:12,12 Sep 2021,21:12:54,530.91
,12 Sep 22:53,12 Sep 2021,22:53:57,530.92
