Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.04
1.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.1
2.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
3.0,16 Aug 19:20,16 Aug 2021,19:20:17,0.06
4.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.0
5.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.75
6.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.85
7.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.14
8.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.76
9.0,28 Aug 12:45,28 Aug 2021,12:45:39,0.55
10.0,28 Aug 15:26,28 Aug 2021,15:26:51,0.51
,03 Sep 02:17,03 Sep 2021,02:17:33,0.33
,10 Sep 17:38,10 Sep 2021,17:38:26,5.59
,10 Sep 23:30,10 Sep 2021,23:30:16,0.0
,12 Sep 17:30,12 Sep 2021,17:30:03,1.63
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
