Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.21
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,6.71
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.7
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.76
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.7
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.75
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,6.76
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,6.75
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.63
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,6.85
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,6.88
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,6.83
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,6.91
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,6.85
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,6.83
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.01
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.02
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,7.03
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.0
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,7.01
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.07
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,7.08
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,6.37
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,6.35
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,6.38
25.0,16 Aug 17:19,16 Aug 2021,17:19:32,6.44
26.0,16 Aug 18:19,16 Aug 2021,18:19:53,6.41
27.0,16 Aug 19:20,16 Aug 2021,19:20:17,6.37
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,6.41
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.25
30.0,19 Aug 22:09,19 Aug 2021,22:09:52,7.27
31.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.43
32.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.45
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,7.71
34.0,28 Aug 11:35,28 Aug 2021,11:35:06,7.69
35.0,28 Aug 12:45,28 Aug 2021,12:45:39,7.7
36.0,28 Aug 15:26,28 Aug 2021,15:26:51,7.68
37.0,28 Aug 18:00,28 Aug 2021,18:00:08,7.72
38.0,28 Aug 19:18,28 Aug 2021,19:18:38,7.66
,03 Sep 02:17,03 Sep 2021,02:17:33,7.95
,03 09 10:54,03 Sep 2021,10:54:46,8.02
,10 Sep 17:38,10 Sep 2021,17:38:26,8.07
,10 Sep 23:30,10 Sep 2021,23:30:16,8.04
,12 Sep 18:42,12 Sep 2021,18:42:45,8.29
,12 Sep 22:00,12 Sep 2021,22:00:04,8.31
,12 Sep 22:53,12 Sep 2021,22:53:57,8.3
