Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,4.06
1.0,16 Aug 10:05,16 Aug 2021,10:05:25,4.07
2.0,16 Aug 19:20,16 Aug 2021,19:20:17,4.09
3.0,19 Aug 21:09,19 Aug 2021,21:09:25,4.35
4.0,28 Aug 10:21,28 Aug 2021,10:21:18,4.12
5.0,28 Aug 18:00,28 Aug 2021,18:00:08,4.19
,03 Sep 02:17,03 Sep 2021,02:17:33,5.62
,03 09 10:54,03 Sep 2021,10:54:46,4.34
,10 Sep 17:38,10 Sep 2021,17:38:26,4.2
,10 Sep 23:24,10 Sep 2021,23:24:03,4.15
