Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,212.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,196.0
2.0,10 Aug 19:26,10 Aug 2021,19:26:33,188.0
3.0,16 Aug 10:05,16 Aug 2021,10:05:25,198.0
4.0,16 Aug 19:20,16 Aug 2021,19:20:17,195.0
5.0,19 Aug 21:09,19 Aug 2021,21:09:25,118.0
6.0,28 Aug 10:21,28 Aug 2021,10:21:18,99.0
7.0,28 Aug 18:00,28 Aug 2021,18:00:08,96.0
,03 Sep 02:17,03 Sep 2021,02:17:33,151.0
,03 09 10:54,03 Sep 2021,10:54:46,149.0
,10 Sep 17:38,10 Sep 2021,17:38:26,155.0
,12 Sep 16:50,12 Sep 2021,16:50:46,158.0
,12 Sep 17:30,12 Sep 2021,17:30:03,160.0
,12 Sep 21:12,12 Sep 2021,21:12:54,161.0
,12 Sep 22:53,12 Sep 2021,22:53:57,160.0
